step,cgm,sbi_updated,sbi_status,sbi_scale_kabs,sbi_scale_kp1,sbi_scale_kp2,sbi_scale_kp3,ekf_g_model,residual,residual_abs,residual_nis,fault_alarm,fault_reason,xhat_g,xhat_x,xhat_i,smith_predicted_glucose,controller_input_glucose,insulin_raw_u_per_hr,fault_override_active,insulin_safe_u_per_hr,insulin_applied_u_per_hr,meal_effect,tcp_rtt_ms,smith_delay_steps,actuation_source
0,161.50103427812817,False,insufficient_history,1.0,1.0,1.0,1.0,138.5,23.001034278128174,23.001034278128174,0.01055493364583556,False,normal,161.48956204005594,-0.041300057059977864,15.09920634920635,154.14586325409297,154.1573354921652,6.9641841138084475,False,6.0,6.0,0.0,,3,local
1,160.8721683742032,False,skip_interval,1.0,1.0,1.0,1.0,158.91508393805316,1.9570844361500406,1.9570844361500406,0.0005015384250128805,False,normal,160.8657616702339,-0.039979681449510036,15.634621749419445,153.61103241201675,153.61743911598606,1.595325673238837,False,1.595325673238837,1.595325673238837,0.0,,3,local
2,157.95283681847428,False,skip_interval,1.0,1.0,1.0,1.0,158.3224735867222,-0.3696367682479149,0.3696367682479149,1.8349273545830955e-05,False,normal,157.95407785258683,-0.03505609933087776,15.412125217495499,151.11462749886164,151.11338646474908,1.324807022894326,False,1.324807022894326,1.324807022894326,0.0,,3,local
3,156.1478776755406,False,skip_interval,1.0,1.0,1.0,1.0,155.55637395995748,0.5915037155831158,0.5915037155831158,4.930857492588427e-05,False,normal,156.1457936406636,-0.0321961797286791,15.296275804408676,149.56424982266398,149.56633385754097,1.41907899466017,False,1.41907899466017,1.41907899466017,0.0,,3,local
4,155.4037292414014,False,skip_interval,1.0,1.0,1.0,1.0,153.83850395863044,1.5652252827709674,1.5652252827709674,0.00035583470217946574,False,normal,155.39804579911842,-0.03119766761306332,15.25928789606185,148.92314951701914,148.92883295930213,1.5212579417935206,False,1.5212579417935206,1.5212579417935206,0.0,,3,local
5,155.62987719713652,False,skip_interval,1.0,1.0,1.0,1.0,153.1281435091625,2.501733687974024,2.501733687974024,0.0009204527223797539,False,normal,155.62067904860052,-0.03178069296012492,15.254628461163506,149.1140296992939,149.1232278478299,1.6266095747232854,False,1.6266095747232854,1.6266095747232854,0.0,,3,local
6,156.4565140447266,False,insufficient_history,1.0,1.0,1.0,1.0,153.3396450961705,3.116868948556089,3.116868948556089,0.0014231443425776187,False,normal,156.44509918925732,-0.03324775506205408,15.263215265389038,149.8208669173895,149.83228177285878,1.7016599534303765,False,1.7016599534303765,1.7016599534303765,0.0,,3,local
7,156.92280269170286,False,skip_interval,1.0,1.0,1.0,1.0,154.12284422979445,2.7999584619084033,2.7999584619084033,0.001132474869130955,False,normal,156.91269115893783,-0.03404521937843414,15.274096160927588,150.22176858239433,150.23188011515936,1.6732013839784992,False,1.6732013839784992,1.6732013839784992,0.0,,3,local
8,156.01237297010422,False,skip_interval,1.0,1.0,1.0,1.0,154.56705660099095,1.4453163691132715,1.4453163691132715,0.0002994100965257068,False,normal,156.00719399851496,-0.032677003840553394,15.275627883074117,149.4454179544768,149.45059692606605,1.522406392169905,False,1.522406392169905,1.522406392169905,0.0,,3,local
9,153.37536792184972,False,skip_interval,1.0,1.0,1.0,1.0,153.70683429858923,-0.3314663767395132,0.3314663767395132,1.5993015091213006e-05,False,normal,153.37657415393036,-0.028735337301364707,15.261284176225104,147.18999026522604,147.1887840331454,1.3132948865856886,False,1.3132948865856886,1.3132948865856886,0.0,,3,local
10,150.07784638591832,False,skip_interval,1.0,1.0,1.0,1.0,151.20774544623384,-1.1298990603155232,1.1298990603155232,0.0001944304318612874,False,normal,150.08214832842563,-0.023931969193884906,15.234803102337084,144.36543192308395,144.36112998057664,1.2052698786380904,False,1.2052698786380904,1.2052698786380904,0.0,,3,local
11,147.4554645828424,False,skip_interval,1.0,1.0,1.0,1.0,148.07804091200435,-0.6225763291619444,0.6225763291619444,6.254397381598099e-05,False,normal,147.45797608106707,-0.020392370064673742,15.213492935818687,142.11553224250486,142.1130207442802,1.2432344860959403,False,1.2432344860959403,1.2432344860959403,0.0,,3,local
12,146.331337096489,False,insufficient_history,1.0,1.0,1.0,1.0,145.5850772770137,0.7462598194752843,0.7462598194752843,9.419211417286553e-05,False,normal,146.32818162329738,-0.01945899409965482,15.208732370328915,141.1468747192746,141.1500301924662,1.385080538636123,False,1.385080538636123,1.385080538636123,0.0,,3,local
13,146.43856420240073,False,skip_interval,1.0,1.0,1.0,1.0,144.51177254213252,1.9267916602682078,1.9267916602682078,0.0006408304734958419,False,normal,146.43024946751385,-0.020606688230708176,15.220897667045204,141.2343851372097,141.24269987209658,1.515232658262042,False,1.515232658262042,1.515232658262042,0.0,,3,local
14,147.23129479753368,False,skip_interval,1.0,1.0,1.0,1.0,144.60873699413816,2.622557803395523,2.622557803395523,0.0011846825279955312,False,normal,147.22000160004475,-0.02279038111199632,15.238674240434436,141.91149887183835,141.92279206932727,1.5980529294704955,False,1.5980529294704955,1.5980529294704955,0.0,,3,local
15,147.97771451766695,False,skip_interval,1.0,1.0,1.0,1.0,145.3590015200425,2.618712997624442,2.618712997624442,0.0011641262985679838,False,normal,147.96660098308314,-0.02470716735849832,15.254001214180109,142.5516145178709,142.5627280524547,1.605004072061846,False,1.605004072061846,1.605004072061846,0.0,,3,local
16,147.54939385223776,False,skip_interval,1.0,1.0,1.0,1.0,146.06827093392897,1.4811229183087846,1.4811229183087846,0.0003673900287870991,False,normal,147.54319264462282,-0.02452163341973421,15.260824001884448,142.18859479368348,142.1947960012984,1.4806872469138752,False,1.4806872469138752,1.4806872469138752,0.0,,3,local
17,144.8586907661318,False,skip_interval,1.0,1.0,1.0,1.0,145.66603301239167,-0.8073422462598785,0.8073422462598785,0.00011002574111639273,False,normal,144.8620978014265,-0.020579133638681614,15.251224861332854,139.88989110249804,139.88648406720333,1.21520941422094,False,1.21520941422094,1.21520941422094,0.0,,3,local
18,139.88699928304186,False,insufficient_history,1.0,1.0,1.0,1.0,143.11899291135518,-3.231993628313319,3.231993628313319,0.0018531986802519146,False,normal,139.9013340783213,-0.012897470910718058,15.221053345210596,135.63665630540075,135.6223215101213,0.9182530558736193,False,0.9182530558736193,0.9182530558736193,0.0,,3,local
19,134.88662240936492,False,skip_interval,1.0,1.0,1.0,1.0,138.40626737440525,-3.519644965040328,3.519644965040328,0.0024167625435284035,False,normal,134.90378864749073,-0.005226933642080757,15.179525758652742,131.35188579164236,131.33471955351655,0.8525486132187201,False,0.8525486132187201,0.8525486132187201,0.0,,3,local
20,132.4742383447735,False,skip_interval,1.0,1.0,1.0,1.0,133.6585992151162,-1.1843608703426867,1.1843608703426867,0.0003024010290897196,False,normal,132.48062155610424,-0.0023867360374652652,15.156391326672736,129.27432290666488,129.26793969533415,1.0893300964696895,False,1.0893300964696895,1.0893300964696895,0.0,,3,local
21,133.90564632866884,False,skip_interval,1.0,1.0,1.0,1.0,131.35659047829904,2.549055850369797,2.549055850369797,0.0014719025738255916,False,normal,133.89121056636873,-0.006930263144230167,15.17061884505993,130.4837266593404,130.4981624216405,1.5047902916643776,False,1.5047902916643776,1.5047902916643776,0.0,,3,local
22,137.54453086303363,False,skip_interval,1.0,1.0,1.0,1.0,132.69665003805028,4.847880824983349,4.847880824983349,0.005164030617883769,False,normal,137.51790051255517,-0.015272055598478333,15.217520771997902,133.593159951952,133.61979030243046,1.7801579811010886,False,1.7801579811010886,1.7801579811010886,0.0,,3,local
23,141.1609335975356,False,skip_interval,1.0,1.0,1.0,1.0,136.14200548692742,5.018928110608186,5.018928110608186,0.005139391077665556,False,normal,141.1353335542375,-0.022732327884506735,15.263599786561011,136.69465660606437,136.72025664936248,1.8259069426854075,False,1.8259069426854075,1.8259069426854075,0.0,,3,local
24,143.21652929210867,True,ok,1.1136873960494995,1.0400551557540894,0.9990203976631165,0.8458091020584106,139.51621034477708,3.7003189473315956,3.7003189473315956,0.0026029444288682094,False,normal,143.1989433456949,-0.02681750992528866,15.286573290012822,138.28430313162525,138.30188907803904,1.6692581515301024,False,1.6692581515301024,1.6692581515301024,0.0,,3,local
25,143.64187564526665,False,skip_interval,1.1136873960494995,1.0400551557540894,0.9990203976631165,0.8458091020584106,141.472506736081,2.169368909185664,2.169368909185664,0.0008605118991149829,False,normal,143.63195902970773,-0.02772404559393418,15.280226336112028,138.6532168870974,138.6631335026563,1.5301411329790906,False,1.5301411329790906,1.5301411329790906,0.0,,3,local
26,142.712838825689,False,skip_interval,1.1136873960494995,1.0400551557540894,0.9990203976631165,0.8458091020584106,141.88300441035983,0.8298344153291737,0.8298344153291737,0.00012493737817835038,False,normal,142.70907490074595,-0.026233653956828175,15.263888732653395,137.8669528729957,137.87071679793877,1.3816735946746799,False,1.3816735946746799,1.3816735946746799,0.0,,3,local
27,140.7047109651663,False,skip_interval,1.1136873960494995,1.0400551557540894,0.9990203976631165,0.8458091020584106,141.00811280122258,-0.3034018360562811,0.3034018360562811,1.6999972374740596e-05,False,normal,140.70611174544797,-0.022954646258462264,15.242626845895074,136.16050045804948,136.1590996777678,1.2474392279962234,False,1.2474392279962234,1.2474392279962234,0.0,,3,local
28,137.89212185376022,False,skip_interval,1.1136873960494995,1.0400551557540894,0.9990203976631165,0.8458091020584106,139.10930925374726,-1.21718739998704,1.21718739998704,0.00028437814365854503,False,normal,137.89796274037434,-0.018394220328732405,15.22080691863391,133.7680587206357,133.76221783402158,1.1308383813665985,False,1.1308383813665985,1.1308383813665985,0.0,,3,local
29,134.72863631458955,False,skip_interval,1.1136873960494995,1.0400551557540894,0.9990203976631165,0.8458091020584106,136.44719174121624,-1.7185554266266934,1.7185554266266934,0.0005990991890879397,False,normal,134.73735147122352,-0.01333296235450547,15.200512435251822,131.07533183812532,131.06661668149135,1.0559624881366645,False,1.0559624881366645,1.0559624881366645,0.0,,3,local
30,132.41548297220731,True,ok,1.0778104066848755,0.9988475441932678,0.9991645216941833,0.8493381142616272,133.50190933287965,-1.0864263606723341,1.0864263606723341,0.0002552099957317293,False,normal,132.42135566650512,-0.009868048804841146,15.184965323495863,129.2270080655146,129.2211353712168,1.1315760585779755,False,1.1315760585779755,1.1315760585779755,0.0,,3,local
31,131.87231510199945,False,skip_interval,1.0778104066848755,0.9988475441932678,0.9991645216941833,0.8493381142616272,131.3015798642565,0.5707352377429515,0.5707352377429515,7.38781754220991e-05,False,normal,131.8690790053588,-0.009880328247264477,15.186244489278007,128.75341369520996,128.7566497918506,1.2915787059159416,False,1.2915787059159416,1.2915787059159416,0.0,,3,local
32,132.41300679059327,False,skip_interval,1.0778104066848755,0.9988475441932678,0.9991645216941833,0.8493381142616272,130.77688521244525,1.6361215781480212,1.6361215781480212,0.000613893543148957,False,normal,132.4036264738835,-0.011948067576575976,15.202627232222895,129.21180473282587,129.22118504953565,1.411310647564002,False,1.411310647564002,1.411310647564002,0.0,,3,local
33,133.3515710033949,False,skip_interval,1.0778104066848755,0.9988475441932678,0.9991645216941833,0.8493381142616272,131.2847361096604,2.0668348937344945,2.0668348937344945,0.0009683871750020911,False,normal,133.3398575958806,-0.014607637905548851,15.221057634805657,130.0146519647939,130.0263653723082,1.4656008512409104,False,1.4656008512409104,1.4656008512409104,0.0,,3,local
34,134.00217287669935,False,skip_interval,1.0778104066848755,0.9988475441932678,0.9991645216941833,0.8493381142616272,132.17420962380731,1.827963252892033,1.827963252892033,0.0007427451877965108,False,normal,133.99201477879146,-0.016500814139660838,15.2338162541784,130.5738969811219,130.58405507902978,1.4456395932542219,False,1.4456395932542219,1.4456395932542219,0.0,,3,local
35,133.7319001036621,False,skip_interval,1.0778104066848755,0.9988475441932678,0.9991645216941833,0.8493381142616272,132.79379652668925,0.9381035769728499,0.9381035769728499,0.00019301227345525784,False,normal,133.72675642128542,-0.01649946341749068,15.23694123672421,130.34642971040583,130.3515733927825,1.3486885723637687,False,1.3486885723637687,1.3486885723637687,0.0,,3,local
36,132.3306818855956,True,ok,1.053808331489563,0.98082035779953,1.005805492401123,0.8325740694999695,132.56317213515806,-0.2324902495624599,0.2324902495624599,1.192290675384331e-05,False,normal,132.3319639723472,-0.014282897056949538,15.228575434207988,129.2049098576775,129.2036277709259,1.2228939576141922,False,1.2228939576141922,1.2228939576141922,0.0,,3,local
37,130.4869582597081,False,skip_interval,1.053808331489563,0.98082035779953,1.005805492401123,0.8325740694999695,131.23678172766103,-0.7498234679529219,0.7498234679529219,0.00012772104416929536,False,normal,130.49121663016555,-0.011296586133203557,15.212750526611709,127.62191488145723,127.61765651099978,1.1477158225810284,False,1.1477158225810284,1.1477158225810284,0.0,,3,local
38,129.02917913475432,False,skip_interval,1.053808331489563,0.98082035779953,1.005805492401123,0.8325740694999695,129.48630650881822,-0.45712737406390147,0.45712737406390147,4.936467232334921e-05,False,normal,129.0318788567095,-0.009161714905382484,15.198961844319253,126.36692224284151,126.36422252088632,1.169909733274903,False,1.169909733274903,1.169909733274903,0.0,,3,local
39,128.21625975031102,False,skip_interval,1.053808331489563,0.98082035779953,1.005805492401123,0.8325740694999695,128.09853614521776,0.11772360509326063,0.11772360509326063,3.3781318815462437e-06,False,normal,128.21554236404876,-0.008374274427904305,15.19564696622457,125.66489403007458,125.66561141633684,1.2270536870687627,False,1.2270536870687627,1.2270536870687627,0.0,,3,local
